eventid,imonth,iday,country,country_txt,region,region_txt,provstate,city,attacktype1_txt,targtype1_txt,targsubtype1,targsubtype1_txt,corp1,target1,natlty1,natlty1_txt,gname,weaptype1_txt,weapsubtype1
202101030001,1,3,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Balcad,Bombing/Explosion,Police,24,Police Checkpoint,Somali Police Force (SPF),Checkpoint,182,Somalia,Unknown,Explosives,16
202101030002,1,3,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Balcad,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Somali Armed Forces (SAF),Soldiers,182,Somalia,Unknown,Explosives,16
202101030003,1,3,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Colonel: Hamidullah,4,Afghanistan,Unknown,Firearms,5
202101030004,1,3,4,Afghanistan,6,South Asia,Kapisa,Mahmud Raqi,Assassination,Government (General),18,"Government Personnel (excluding police, military)",National Ulema Council,Vehicle of Council Head: Mirwais Karimi,4,Afghanistan,Unknown,Explosives,29
202101030005,1,3,4,Afghanistan,6,South Asia,Ghazni,Ghazni,Unknown,Police,22,"Police Building (headquarters, station, school)",Afghan Police,Outpost,4,Afghanistan,Taliban,Unknown,
202101030006,1,3,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Unknown,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Truck,4,Afghanistan,Taliban,Unknown,
202101030007,1,3,4,Afghanistan,6,South Asia,Balkh,Mazari Sharif,Assassination,Private Citizens & Property,77,Laborer (General)/Occupation Identified,Not Applicable,Former Commander of Hezb-i-Junbish: Haji Asadullah,4,Afghanistan,Unknown,Firearms,5
202101030008,1,3,200,Syria,10,Middle East & North Africa,Idlib,Kafrayah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Turkish Land Forces,Army Convoy,209,Turkey,Ansar Abi Bakr al-Siddiq Squadron,Explosives,11
202101030010,1,3,41,Central African Republic,11,Sub-Saharan Africa,Mbomou,Bangassou,Armed Assault,Private Citizens & Property,75,Village/City/Town/Suburb,Bangassou City,City,41,Central African Republic,Coalition of Patriots for Change (CPC),Firearms,5
202101030014,1,3,228,Yemen,10,Middle East & North Africa,Abyan,Shoqra,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Operation Restoring Hope Coalition,Saudi Soldiers,422,International,Unknown,Explosives,16
202101030019,1,3,228,Yemen,10,Middle East & North Africa,Taizz,Taizz,Armed Assault,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilian: Safwan Muhammad Farhan Al-Hamidi,228,Yemen,Al-Islah Party,Firearms,5
202101040002,1,4,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,29
202101040012,1,4,200,Syria,10,Middle East & North Africa,Raqqah,Raqqah,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,200,Syria,Unknown,Explosives,16
202101040015,1,4,217,United States,1,North America,Missouri,Lee's Summit,Armed Assault,Police,22,"Police Building (headquarters, station, school)",Missouri State Highway Patrol,Headquarters,217,United States,Unknown,Firearms,2
202101040017,1,4,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,4,Afghanistan,Unknown,Firearms,3
202101040019,1,2,200,Syria,10,Middle East & North Africa,Al Hasakah,Ras al-Ain,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Unknown,Marketplace,200,Syria,Kurdistan Workers' Party (PKK),Explosives,15
202101040021,1,4,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Afghan National Army (ANA),Vehicle,4,Afghanistan,Unknown,Explosives,29
202101040022,1,4,182,Somalia,11,Sub-Saharan Africa,Bakool,Hudur,Bombing/Explosion,Private Citizens & Property,68,Named Civilian,Not Applicable,Civilians,182,Somalia,Unknown,Explosives,16
202101040025,1,4,37,Cameroon,11,Sub-Saharan Africa,Extreme-North,Kolofata,Unknown,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,37,Cameroon,Boko Haram,Unknown,
202101040026,1,4,160,Philippines,5,Southeast Asia,Maguindanao,Salman,Bombing/Explosion,Unknown,,,Unknown,Unknown,160,Philippines,Unknown,Explosives,17
202101040027,1,4,228,Yemen,10,Middle East & North Africa,Abyan,Shoqra,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Operation Restoring Hope Coalition,Saudi Soldiers,422,International,Unknown,Explosives,17
202101040034,1,4,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Hudaydah,Armed Assault,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Civilian Houses,228,Yemen,Houthi extremists (Ansar Allah),Firearms,2
202101040035,1,4,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Bayt al Marui,Armed Assault,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Civilian Houses,228,Yemen,Houthi extremists (Ansar Allah),Firearms,2
202101050001,1,5,4,Afghanistan,6,South Asia,Ghazni,Ghazni,Hostage Taking (Kidnapping),Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Soldiers,4,Afghanistan,Taliban,Firearms,5
202101050005,1,5,95,Iraq,10,Middle East & North Africa,Diyala,Jalawla,Unknown,Military,27,Military Barracks/Base/Headquarters/Checkpost,Iraqi Army,Military Post,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Unknown,
202101050007,1,5,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Civilian House,95,Iraq,Unknown,Explosives,16
202101050011,1,5,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,Assassination,Police,25,Police Security Forces/Officers,Somali Police Force (SAF),Spokesperson: Sadiq Adan Ali Dodishe,182,Somalia,Al-Shabaab,Explosives,8
202101050018,1,5,228,Yemen,10,Middle East & North Africa,Al Hudaydah,Mandar,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Residential Neighborhood,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202101050019,1,5,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Alon Shvut,Armed Assault,Military,36,Military Checkpoint,Israel Defense Forces (IDF),Gush Etzion Junction Checkpoint,97,Israel,Palestinian Extremists,Melee,23
202101050020,1,5,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Security Force (ANSF),Forces,4,Afghanistan,Taliban,Explosives,15
202101050024,1,5,95,Iraq,10,Middle East & North Africa,Saladin,Tarmiyah,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Iraqi Armed Forces,Watchtower,95,Iraq,Unknown,Firearms,5
202101060001,1,6,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Government (General),20,Intelligence,National Directorate of Security (NDS),Member,4,Afghanistan,Unknown,Firearms,5
202101060002,1,6,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Government (General),18,"Government Personnel (excluding police, military)",Ministry of Interior Affairs,Security Officer,4,Afghanistan,Unknown,Firearms,5
202101060003,1,6,4,Afghanistan,6,South Asia,Ghazni,Ghazni,Armed Assault,Military,36,Military Checkpoint,Afghan National Army (ANA),Checkpoint,4,Afghanistan,Unknown,Firearms,5
202101060006,1,5,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,Bombing/Explosion,Food or Water Supply,52,Water Supply,Unknown,Well,182,Somalia,Al-Shabaab,Explosives,16
202101060007,1,5,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,Bombing/Explosion,Food or Water Supply,52,Water Supply,Unknown,Well,182,Somalia,Al-Shabaab,Explosives,16
202101060008,1,6,228,Yemen,10,Middle East & North Africa,Adan,Shaykh Uthman,Assassination,Police,23,Police Patrol (including vehicles and convoys),Al-Drain Police,Vehicle of Colonel: Mohamed Qaid Aqib,228,Yemen,Unknown,Explosives,15
202101060016,1,6,217,United States,1,North America,District of Columbia,Washington,Hostage Taking (Barricade Incident),Government (General),19,Election-related,United States Congress,2020 Presidential Election Joint Electoral Vote Certification Session,217,United States,Oath Keepers,Explosives,17
202101060017,1,6,217,United States,1,North America,District of Columbia,Washington,Bombing/Explosion,Private Citizens & Property,84,Political Party Member/Rally,Republican National Committee (RNC),Headquarters,217,United States,Unknown,Explosives,14
202101060018,1,6,217,United States,1,North America,District of Columbia,Washington,Bombing/Explosion,Private Citizens & Property,84,Political Party Member/Rally,Democratic National Committee (DNC),Headquarters,217,United States,Unknown,Explosives,14
202101060023,1,6,92,India,6,South Asia,Jharkhand,Hazaribagh,Facility/Infrastructure Attack,Government (General),18,"Government Personnel (excluding police, military)",Indian Administrative Service (IAS),Residence of Commissioner: Madhavi Mishra,92,India,Unknown,Sabotage Equipment,
202101060025,1,6,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,233,Northern Ireland,The New Irish Republican Army,Firearms,5
202101060027,1,6,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,233,Northern Ireland,The New Irish Republican Army,Firearms,5
202101060028,1,6,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,Facility/Infrastructure Attack,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicles,233,Northern Ireland,The New Irish Republican Army,Incendiary,18
202101060030,1,6,228,Yemen,10,Middle East & North Africa,Amanat Al Asimah,Sanaa,Hostage Taking (Kidnapping),Business,1,Gas/Oil/Electric,Safer Oil Company,Residence of Engineer: Mohammed Fuad,228,Yemen,Houthi extremists (Ansar Allah),Unknown,
202101070001,1,14,4,Afghanistan,6,South Asia,Baghlan,Puli Khumri,Bombing/Explosion,Military,35,Military Transportation/Vehicle (excluding convoys),Afghan National Security Force (ANSF),Vehicle,4,Afghanistan,Taliban,Explosives,16
202101070003,1,7,4,Afghanistan,6,South Asia,Khost,Khost,Bombing/Explosion,Police,25,Police Security Forces/Officers,Afghan Police,Officer,4,Afghanistan,Unknown,Explosives,8
202101070004,1,7,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Major: Dastagir Zamaray,4,Afghanistan,Unknown,Firearms,5
202101070005,1,6,4,Afghanistan,6,South Asia,Uruzgan,Tarin Kot,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Outpost,4,Afghanistan,Taliban,Explosives,15
202101070006,1,7,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,Assassination,Police,23,Police Patrol (including vehicles and convoys),Corrections Corps,Convoy of Chief of Services: Mahad Abdirahman,182,Somalia,Al-Shabaab,Explosives,8
202101070011,1,7,228,Yemen,10,Middle East & North Africa,Adan,Shaykh Uthman,Bombing/Explosion,Private Citizens & Property,74,Marketplace/Plaza/Square,Not Applicable,Vegetable Market,228,Yemen,Unknown,Explosives,16
202101070019,1,7,37,Cameroon,11,Sub-Saharan Africa,South-West,Kumba,Bombing/Explosion,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Unknown,Newspaper Kiosk,37,Cameroon,Unknown,Explosives,17
202101070032,1,7,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Hostage Taking (Kidnapping),Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Army (ANA),Security Post,4,Afghanistan,Taliban,Explosives,11
202101070033,1,7,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Hostage Taking (Kidnapping),Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Army (ANA),Security Post,4,Afghanistan,Taliban,Explosives,11
202101080001,1,7,4,Afghanistan,6,South Asia,Kunduz,Charkh Ab,Hostage Taking (Kidnapping),Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkpost,4,Afghanistan,Taliban,Explosives,11
202101080002,1,8,4,Afghanistan,6,South Asia,Herat,Ghoryan,Assassination,Government (General),21,Government Building/Facility/Office,Government of Ghoryan,Office of District Governor,4,Afghanistan,Taliban,Firearms,5
202101080003,1,8,4,Afghanistan,6,South Asia,Baghlan,Puli Khumri,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,16
202101080007,1,8,37,Cameroon,11,Sub-Saharan Africa,Extreme-North,Mozogo,Bombing/Explosion,Private Citizens & Property,75,Village/City/Town/Suburb,Mozogo Village,Village,37,Cameroon,Boko Haram,Explosives,13
202101080011,1,8,182,Somalia,11,Sub-Saharan Africa,Mudug,Bacaadweyn,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilians,182,Somalia,Al-Shabaab,Explosives,11
202101080019,1,8,228,Yemen,10,Middle East & North Africa,Taizz,Taizz,Bombing/Explosion,Private Citizens & Property,76,House/Apartment/Residence,Not Applicable,Residential Neighborhood,228,Yemen,Houthi extremists (Ansar Allah),Explosives,11
202101080029,1,8,603,United Kingdom,8,Western Europe,Northern Ireland,Londonderry,Armed Assault,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,233,Northern Ireland,Unknown,Firearms,5
202101090001,1,8,4,Afghanistan,6,South Asia,Takhar,Darqad,Unknown,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Afghan National Army (ANA),Forces,4,Afghanistan,Taliban,Unknown,
202101090005,1,9,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,4,Afghanistan,Unknown,Explosives,29
202101100001,1,10,4,Afghanistan,6,South Asia,Ghazni,Ghazni,Bombing/Explosion,Private Citizens & Property,67,Unnamed Civilian/Unspecified,Not Applicable,Civilian,4,Afghanistan,Unknown,Explosives,29
202101100004,1,10,4,Afghanistan,6,South Asia,Kabul,Kabul,Assassination,Government (General),18,"Government Personnel (excluding police, military)",National Public Protection Force (NPPF),Vehicle of Spokesperson: Zia Wadan,4,Afghanistan,Taliban,Explosives,29
202101100007,1,10,153,Pakistan,6,South Asia,Balochistan,Turbat,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Frontier Corps (FC),Paramilitary Checkpost,153,Pakistan,Unknown,Explosives,7
202101100014,1,10,4,Afghanistan,6,South Asia,Helmand,Lashkar Gah,Bombing/Explosion,Terrorists/Non-State Militia,94,Non-State Militia,Unknown,Outpost,4,Afghanistan,Taliban,Explosives,15
202101100021,1,10,228,Yemen,10,Middle East & North Africa,Adan,Aden,Bombing/Explosion,Airports & Aircraft,44,Airport,Aden International Airport,Airport,228,Yemen,Unknown,Explosives,16
202101100023,1,10,182,Somalia,11,Sub-Saharan Africa,Middle Shebelle,Balcad,Unknown,Military,27,Military Barracks/Base/Headquarters/Checkpost,Somali Armed Forces (SAF),Base,182,Somalia,Al-Shabaab,Unknown,
202101110002,1,11,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Armed Assault,Government (General),20,Intelligence,National Directorate of Security (NDS),Member,4,Afghanistan,Unknown,Firearms,5
202101110006,1,11,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Police,25,Police Security Forces/Officers,Afghan Police,Officer: Amanullah Khan,4,Afghanistan,Taliban,Firearms,5
202101110009,1,11,95,Iraq,10,Middle East & North Africa,Diyala,Buhriz,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Iraqi Armed Forces,Military Post,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,4
202101110010,1,11,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Ahl al-Marouf,Explosives,16
202101110011,1,11,95,Iraq,10,Middle East & North Africa,Diyala,Muqdadiyah,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Iraqi Volunteer Forces,Paramilitary Patrol,95,Iraq,Unknown,Explosives,16
202101110012,1,11,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,Assassination,Police,23,Police Patrol (including vehicles and convoys),Somali Police Force (SPF),Vehicle of Kahda Police Commissioner,182,Somalia,Al-Shabaab,Explosives,8
202101110017,1,11,153,Pakistan,6,South Asia,Balochistan,Chaman,Bombing/Explosion,Government (General),21,Government Building/Facility/Office,Government of Chaman,Administrative Office,153,Pakistan,Unknown,Explosives,7
202101110025,1,11,228,Yemen,10,Middle East & North Africa,Adan,Shaykh Uthman,Bombing/Explosion,Military,29,Military Unit/Patrol/Convoy,Military of Yemen,Security Patrol,228,Yemen,Unknown,Explosives,16
202101110026,1,11,104,Kenya,11,Sub-Saharan Africa,Mandera,Mandera,Hostage Taking (Kidnapping),Government (General),18,"Government Personnel (excluding police, military)",Kenya National Examination Council (KNEC),Officials,104,Kenya,Al-Shabaab,Explosives,8
202101120002,1,12,4,Afghanistan,6,South Asia,Faryab,Gaday Qala,Unknown,Police,25,Police Security Forces/Officers,Afghan Police,Officer,4,Afghanistan,Taliban,Unknown,
202101120005,1,12,4,Afghanistan,6,South Asia,Balkh,Mazari Sharif,Armed Assault,Military,35,Military Transportation/Vehicle (excluding convoys),Afghan National Security Force (ANSF),Vehicle of Female Soldiers,4,Afghanistan,Taliban,Firearms,5
202101120007,1,12,95,Iraq,10,Middle East & North Africa,Dhi Qar,Nasiriyah,Armed Assault,Educational Institution,48,Teacher/Professor/Instructor,Dhi Qar University,Professor: Sattar al-Atabi,95,Iraq,Unknown,Firearms,3
202101120008,1,12,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Ahl al-Marouf,Explosives,16
202101120009,1,12,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Ahl al-Marouf,Explosives,16
202101120010,1,12,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Ahl al-Marouf,Explosives,16
202101120011,1,12,182,Somalia,11,Sub-Saharan Africa,Sool,Las Anod,Bombing/Explosion,Government (General),19,Election-related,The National Independent Electoral Commission (NIEC),Voter Registration Center,182,Somalia,Unknown,Explosives,7
202101120013,1,12,4,Afghanistan,6,South Asia,Kabul,Kabul,Armed Assault,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Outpost,4,Afghanistan,Unknown,Firearms,5
202101120016,1,12,4,Afghanistan,6,South Asia,Ghazni,Ghazni,Armed Assault,Business,3,Bank/Commerce,Kabul Bank,Bank Employee,4,Afghanistan,Unknown,Firearms,5
202101120022,1,12,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Police,23,Police Patrol (including vehicles and convoys),Afghan Police,Vehicle,4,Afghanistan,Unknown,Explosives,29
202101120026,1,12,155,West Bank and Gaza Strip,10,Middle East & North Africa,West Bank,Qalandiyah,Armed Assault,Police,24,Police Checkpoint,Israeli Border Police,Checkpoint,97,Israel,Palestinian Extremists,Melee,23
202101120027,1,12,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,7
202101130001,1,14,4,Afghanistan,6,South Asia,Kandahar,Kandahar,Bombing/Explosion,Transportation,105,Taxi/Rickshaw,Unknown,Taxi,4,Afghanistan,Unknown,Explosives,29
202101130002,1,13,4,Afghanistan,6,South Asia,Nangarhar,Jalalabad,Armed Assault,Government (General),18,"Government Personnel (excluding police, military)",Government of Nangarhar Province,"Appellate Court Employees: Abdol Qayyum Naeemi, Esmatollah",4,Afghanistan,Khorasan Chapter of the Islamic State,Firearms,5
202101130004,1,13,41,Central African Republic,11,Sub-Saharan Africa,Bangui,Bangui,Armed Assault,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",United Nations Multidimensional Integrated Stabilization Mission in the Central African Republic (MINUSCA),Peacekeepers,422,International,Coalition of Patriots for Change (CPC),Explosives,11
202101130007,1,13,92,India,6,South Asia,Jammu and Kashmir,Srinagar,Bombing/Explosion,Police,25,Police Security Forces/Officers,Central Reserve Police Force (CRPF),Officers,92,India,Unknown,Explosives,7
202101130013,1,13,182,Somalia,11,Sub-Saharan Africa,Gedo,Bardere,Bombing/Explosion,Military,34,"Military Personnel (soldiers, troops, officers, forces)",Somali National Army (SNA),Soldiers,182,Somalia,Al-Shabaab,Explosives,16
202101140001,1,14,4,Afghanistan,6,South Asia,Baghlan,Puli Khumri,Unknown,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Checkpost,4,Afghanistan,Taliban,Unknown,
202101140006,1,14,95,Iraq,10,Middle East & North Africa,Saladin,Tikrit,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,16
202101140007,1,14,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,16
202101140009,1,14,95,Iraq,10,Middle East & North Africa,Baghdad,Baghdad,Bombing/Explosion,Business,7,Retail/Grocery/Bakery,Unknown,Liquor Store,95,Iraq,Unknown,Explosives,7
202101140015,1,14,603,United Kingdom,8,Western Europe,Northern Ireland,Belfast,Facility/Infrastructure Attack,Private Citizens & Property,81,Museum/Cultural Center/Cultural House,Belfast Multicultural Association (BMCA),Cultural Center,233,Northern Ireland,Unknown,Incendiary,18
202101140016,1,14,217,United States,1,North America,New York,Poughkeepsie,Armed Assault,Private Citizens & Property,76,House/Apartment/Residence,Halloween House,House,217,United States,Unknown,Incendiary,20
202101150003,1,15,4,Afghanistan,6,South Asia,Kabul,Kabul,Bombing/Explosion,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle,4,Afghanistan,Unknown,Explosives,29
202101150007,1,15,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,Armed Assault,Private Citizens & Property,84,Political Party Member/Rally,Future Party (GP),Deputy Chair: Selcuk Ozdag,209,Turkey,Grey Wolves,Firearms,5
202101150008,1,15,209,Turkey,10,Middle East & North Africa,Ankara,Ankara,Armed Assault,Journalists & Media,53,Newspaper Journalist/Staff/Facility,Yenicag Daily,Ankara Bureau Chief: Orhan Uguroglu,209,Turkey,Grey Wolves,Firearms,5
202101150009,1,15,123,Mali,11,Sub-Saharan Africa,Kidal,Tessalit,Bombing/Explosion,Government (Diplomatic),47,"International Organization (peacekeeper, aid agency, compound)",United Nations Multidimensional Integrated Stabilization Mission in Mali (MINUSMA),Convoy,422,International,Jamaat Nusrat al-Islam wal Muslimin (JNIM),Explosives,8
202101150010,1,15,95,Iraq,10,Middle East & North Africa,Saladin,Tarmiyah,Armed Assault,Military,36,Military Checkpoint,Iraqi Armed Forces,Checkpoint,95,Iraq,Unknown,Firearms,4
202101150011,1,15,4,Afghanistan,6,South Asia,Ghazni,Nani,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Army (ANA),Base,4,Afghanistan,Taliban,Explosives,15
202101150012,1,15,95,Iraq,10,Middle East & North Africa,Diyala,Jalawla,Armed Assault,Police,25,Police Security Forces/Officers,Iraqi Police Service (IPS),Officers,95,Iraq,Islamic State of Iraq and the Levant (ISIL),Firearms,5
202101150017,1,15,4,Afghanistan,6,South Asia,Kabul,Kabul,Assassination,Terrorists/Non-State Militia,94,Non-State Militia,National Uprising Movement (NUM),Vehicle of Commander: Sayed Mohammad Hussain Khel,4,Afghanistan,Unknown,Explosives,16
202101150023,1,15,4,Afghanistan,6,South Asia,Kunduz,Kunduz,Bombing/Explosion,Military,27,Military Barracks/Base/Headquarters/Checkpost,Afghan National Security Force (ANSF),Base,4,Afghanistan,Taliban,Explosives,12
202101150025,1,15,153,Pakistan,6,South Asia,Khyber Pakhtunkhwa,Mir Ali,Armed Assault,Private Citizens & Property,73,Vehicles/Transportation,Not Applicable,Vehicle of Medical Professor: Waliullah Dawar,153,Pakistan,Unknown,Firearms,5
202101150026,1,15,95,Iraq,10,Middle East & North Africa,Dhi Qar,Nasiriyah,Bombing/Explosion,Private Citizens & Property,83,Protester,Not Applicable,Residence of Protester: Abdel-Wahab Al-Hamdani,95,Iraq,Unknown,Explosives,16
202101150032,1,15,95,Iraq,10,Middle East & North Africa,Basra,Basra,Armed Assault,Police,25,Police Security Forces/Officers,Iraqi Border Guards,Residence of Official,95,Iraq,Unknown,Firearms,5
